id,name,count
0,approach water container,29
1,open lid,112
2,withdraw water container,42
3,lift water container,87
4,approach faucet,16
5,open faucet,79
6,load water container,67
7,close lid,113
8,place water container,43
9,rotate coffee machine,25
10,grab water container,72
11,pull water container,14
12,place cup,188
13,approach coffee machine,82
14,pull lever,167
15,open capsule box,14
16,lift coffee capsule,48
17,insert coffee capsule,87
18,grab dispenser,13
19,push lever,115
20,grab cup,165
21,approach button,54
22,press button,127
23,approach cup,69
24,lift cup,65
25,grab drip tray,130
26,grab coffee machine,42
27,withdraw drip tray,65
28,disassemble capsule container,34
29,lift capsule container,74
30,approach garbage bin,16
31,open garbage bin,44
32,empty capsule container,34
33,lift drip tray,109
34,assemble capsule container,73
35,assemble drip tray,46
36,pull drip tray,75
37,grab capsule container,85
38,flip drip tray,22
39,empty drip tray,73
40,place drip tray,52
41,insert drip tray,93
42,approach lever,60
43,grab lever,80
44,slide coffee machine,12
45,close faucet,67
46,lift lever,63
47,approach coffee capsule,33
48,grab coffee capsule,97
49,withdraw cup,36
50,close garbage bin,25
51,approach drip tray,63
52,disassemble drip tray,18
53,lift lid,13
54,load cup,23
55,approach capsule container,28
56,drop coffee capsule,49
57,withdraw capsule container,67
58,approach sink,13
59,assemble water container,26
60,align cup,27
61,load coffee,13
62,rotate drip tray,12
63,hold capsule container,33
64,place capsule container,60
65,insert capsule container,87
66,hold cup,31
67,hold lever,10
68,pour water,17
69,insert water container,57
70,close water container,13
71,lift tray,18
72,place coffee capsule,23
73,touch coffee machine,24
74,grab glass,12
75,close lever,12
76,hold drip tray,21
77,drop drip tray,11
78,inspect coffee machine,33
79,open water container,11
80,hold water container,16
81,push button,11
82,slide cup,18
83,pull capsule container,13
84,push drip tray,11
85,inspect drip tray,10
86,empty tray,16
87,insert tray,17
88,grab tray,17
89,pull handle,13
