id,name
0,shift faucet
1,align water container
2,slide water container
3,validate water container
4,flip coffee capsule
5,press dispenser
6,disassemble water container
7,press water container
8,close dispenser
9,make coffee
10,rotate cup
11,inspect capsule container
12,load water
13,rotate coffee capsule
14,align capsule container
15,touch water container
16,load coffee capsule
17,press lever
18,drop coffee
19,grab coffee
20,lift coffee
21,grab faucet
22,inspect water container
23,align capsule coffee machine
24,touch coffee capsule
25,slide capsule container
26,align drip tray
27,touch faucet
28,clean drip tray
29,grab lid
30,pour water container
31,inspect espresso machine
32,inspect button
33,push cup
34,withdraw coffee capsule
35,push water container
36,touch espresso machine
37,hold coffee capsule
38,touch cup
39,approach capsule box
40,open drip tray
41,push coffee capsule
42,slide drip tray
43,touch capsule container
44,place tray
45,hold tray
46,assemble tray
47,rotate water container
48,pour coffee capsule
49,pour drip tray
50,approach glass
51,lift glass
52,touch lid
53,open lever
54,shift capsule coffee machine
55,touch lever
56,drop cup
57,lift handle
58,press handle
59,hold capsule coffee machine
60,pull dispenser
61,slide lever
62,drop tray
63,withdraw tray
64,lift water kettle
65,close cover
66,place water kettle
67,insert cup
68,push capsule container
69,grab handle
70,open drawer
71,empty coffee capsule
72,close drawer
73,tap drip tray
74,inspect dispenser
75,grab capsule box
76,place capsule box
77,press drip tray
78,approach lid
79,grab garbage bin
80,push handle
81,pull tray
82,grab cup sleeve
83,drop capsule container
84,rotate capsule container
85,touch drip tray
86,grab water kettle
87,push dispenser
88,grab cover
89,hold handle
90,flip tray
91,pull garbage bin
92,withdraw glass
93,drop water container
94,pour glass
95,place glass
96,push garbage bin
97,pour tray
98,press lid
99,withdraw capsule coffee machine
100,validate coffee capsule
101,approach dispenser
102,empty water container
103,lift capsule box
104,slide capsule box
105,press coffee capsule
106,lift cover
107,lift dispenser
108,place cover
109,grab electrical cord
110,push tray
