id,name
0,lift gopro
1,grab battery
2,pull battery
3,open gopro
4,place sd card
5,place battery
6,push battery door
7,grab mounting peg
8,place mounting peg
9,grab handheld grip
10,assemble handheld grip
11,drop handheld grip
12,screw handheld grip
13,unscrew handheld grip
14,withdraw mounting peg
15,open box
16,place handheld grip
17,place gopro
18,withdraw battery
19,drop sd card
20,grab sd card
21,turn_on gopro
22,turn_off gopro
23,grab strap
24,inspect strap
25,lift mounting peg
26,align mounting peg
27,withdraw strap
28,withdraw gopro
29,push screw
30,withdraw tripod
31,place tripod
32,press battery door
33,lift battery door
34,hold gopro
35,push sd card
36,pull sd card
37,lift sd card
38,rotate sd card
39,press battery
40,rotate battery
41,tap button
42,pull mounting peg
43,insert gopro
44,pull gopro
45,lift battery
46,lift strap
47,lift handheld grip
48,open mounting peg
49,place strap
50,lift screw
51,assemble gopro
52,pull screw
53,rotate strap
54,mount gopro
55,align gopro
56,validate gopro
57,inspect battery door
58,pull battery door
59,grab battery door
60,place battery door
61,flip sd card
62,withdraw battery door
63,assemble battery door
64,drop gopro
65,hold button
66,screw gopro
67,inspect screw
68,unscrew gopro
69,lift tripod
70,close mounting peg
71,screw strap
72,unscrew strap
73,disassemble gopro
74,disassemble handheld grip
75,unscrew tripod
76,touch gopro
77,press gopro
78,inspect battery
79,close gopro
80,turn gopro
81,align sd card
82,inspect sd card
83,press sd card
84,hold strap
85,align screw
86,rotate screw
87,withdraw handheld grip
88,rotate handheld grip
89,grab tripod
90,inspect tripod
91,insert mounting peg
92,screw mounting peg
93,unscrew mounting peg
94,hold handheld grip
95,touch touch screen
96,press touch screen
97,drop strap
98,unlock battery door
99,push battery
100,slide sd card
101,open mount tabs
102,assemble strap
103,disassemble strap
104,assemble tripod
105,align handheld grip
106,assemble mounting peg
107,lock battery door
108,grab mount tabs
109,exchange battery
110,exchange sd card
111,flip gopro
112,drop screw
113,inspect mounting peg
114,inspect handheld grip
115,slide battery door
116,adjust battery door
117,lock sd card
118,turn_on button
119,hold battery
120,insert battery door
121,hold sd card
122,align battery door
123,insert tripod
124,insert handheld grip
125,pull mount tabs
126,flip battery
127,touch button
128,screw tripod
129,drop battery
130,touch battery
131,push gopro
132,open sd card
133,insert strap
134,turn screw
135,drop battery door
136,align strap
137,unscrew bolt
138,screw bolt
139,place bolt
140,place furniture
141,hold battery door
142,close handheld grip
143,push button
144,drop hex nut
145,lift hex nut
146,press power button
147,open leg
148,inspect button
149,slide screw
150,inspect box
151,align battery
152,align bolt
153,hold bolt
154,touch sd card
155,drop tripod
156,hold screw
157,assemble screw
158,pull button
159,click button
160,turn_off button
161,grab box
162,touch battery door
163,touch screw
164,slide strap
165,grab base
166,place base
167,inspect base
168,close box
