id,name,count
0,withdraw battery,44
1,place battery,10
2,exchange gopro,29
3,withdraw handheld grip,39
4,open battery door,13
5,exchange battery,212
6,turn_on gopro,127
7,turn_off gopro,122
8,assemble strap,43
9,disassemble strap,14
10,disassemble handheld grip,37
11,assemble tripod,8
12,disassemble tripod,10
13,insert battery,36
14,withdraw sd card,42
15,insert sd card,43
16,assemble mounting peg,6
17,withdraw gopro,35
18,assemble gopro,56
19,mount strap,14
20,exchange tripod,13
21,exchange handheld grip,29
22,disassemble gopro,33
23,place gopro,17
24,inspect gopro,21
25,withdraw tripod,11
26,assemble handheld grip,35
27,place strap,12
28,withdraw strap,16
29,exchange strap,28
30,press button,29
31,mount handheld grip,8
32,insert screw,32
33,mount gopro,28
34,place sd card,7
35,assemble screw,50
36,place screw,13
37,exchange joy con controller,102
38,stand nintendo switch,66
39,exchange game card,115
40,turn_on nintendo switch,117
41,turn_off nintendo switch,128
42,withdraw joy con controller,54
43,assemble joy con controller,149
44,disassemble joy con controller,55
45,disassemble joy con strap,8
46,pull kickstand,10
47,insert joy con strap,6
48,withdraw joy con strap,8
49,insert joy con controller,47
50,assemble joy con strap,15
51,place nintendo switch,16
52,exchange comfort grip,16
53,open kickstand,15
54,press joy con controller,6
55,exchange joy con strap,9
56,inspect nintendo switch,10
57,exchange nintendo switch,12
58,place joy con controller,21
59,shift joy con controller,6
60,disassemble lens,144
61,turn_on dslr,128
62,turn_off dslr,129
63,assemble lens,148
64,assemble lens cover,100
65,disassemble lens cover,92
66,withdraw lens cover,11
67,disassemble dslr,8
68,open box,7
69,withdraw wheel,9
70,assemble wheel,127
71,assemble m6 body,12
72,place m6 head,6
73,place lens caps,6
74,lift m6 head,7
75,disassemble m6 body,7
76,disassemble wheel,138
77,place wheel,6
78,turn_on m6 machine,6
79,assemble m6 head,9
80,unscrew wheel,24
81,place m6 body,6
82,pull lever,38
83,make coffee,42
84,load milk,29
85,insert paper stack,27
86,make paper stack,6
87,exchange ink cartridge,197
88,close printer,36
89,load paper stack,147
90,open paper tray,48
91,make copy,79
92,pull paper tray,12
93,close paper tray,29
94,place paper stack,20
95,open cartridge gate,12
96,turn_on printer,113
97,load printer,10
98,withdraw paper stack,34
99,withdraw ink cartridge,9
100,exchange cartridge gate,8
101,turn_off printer,116
102,inspect ink cartridge,6
103,withdraw copy,9
104,insert ink cartridge,6
105,load paper tray,9
106,align paper stack,8
107,shift lever,52
108,insert shift arm,18
109,grab bolt,17
110,screw bolt,30
111,use remote,22
112,unscrew bolt,27
113,place bolt,18
114,withdraw shift arm,14
115,grab washer,10
116,grab ratchet,7
117,open front panel door,59
118,withdraw belt,24
119,drop belt,6
120,assemble belt,28
121,push lever,28
122,close front panel door,44
123,lock front panel door,33
124,place belt,12
125,inspect belt,12
126,grab belt,7
127,unlock front panel door,7
128,turn_off circuit breaker,35
129,withdraw circuit breaker,23
130,assemble circuit breaker,17
131,turn_on circuit breaker,32
132,reset circuit breaker,24
133,grab circuit breaker,8
134,place circuit breaker,15
135,exchange circuit breaker,11
136,disassemble drip tray,6
137,load coffee bean,28
138,load coffee,14
139,empty drip tray,25
140,empty tray,7
141,disassemble tray,183
142,assemble tray,150
143,assemble drip tray,16
144,load cream,6
145,place tray,55
146,pour milk,6
147,withdraw cable power supply,32
148,place computer tower,66
149,open computer tower,16
150,withdraw ram,45
151,insert ram,35
152,close computer tower,15
153,withdraw hdmi cable,10
154,withdraw graphic card,39
155,assemble graphic card,18
156,assemble cover,13
157,insert hdmi cable,9
158,inspect computer tower,19
159,insert graphic card,20
160,withdraw computer tower,13
161,insert computer tower,13
162,withdraw cover,11
163,assemble ram,19
164,rotate computer tower,6
165,place ram,11
166,insert cable power supply,19
167,open cover,22
168,place cover,10
169,lock computer tab,6
170,close cover,24
171,lift computer tower,7
172,inspect nightstand,46
173,rotate nightstand,16
174,inspect screw,9
175,screw tray,31
176,place leg,9
177,screw leg,189
178,inspect tray,15
179,align leg,27
180,align tray,12
181,inspect leg,18
182,mount tray,9
183,unscrew tray,7
184,unscrew leg,94
185,disassemble nightstand,27
186,place nightstand,7
187,disassemble screw,184
188,unscrew nightstand,11
189,align screw,7
190,disassemble grid tray,211
191,disassemble half frame,57
192,unscrew grid tray,18
193,disassemble frame,10
194,disassemble bracket,75
195,inspect utility cart,6
196,rotate utility cart,6
197,align grid tray,9
198,mount grid tray,6
199,place grid tray,20
200,unscrew hexagon cap nut,8
201,mount leg,8
202,place circle,26
203,rotate leg,8
204,assemble circle,58
205,screw circle,23
206,assemble base,8
207,assemble seat,85
208,insert leg,6
209,screw hex nut,32
210,rotate stool,8
211,disassemble circle,101
212,unscrew hex nut,52
213,disassemble tray table,9
214,unscrew circle,12
215,disassemble seat,23
216,disassemble hex nut,20
217,assemble half frame,94
218,assemble frame,67
219,assemble grid tray,179
220,assemble bracket,61
221,screw bracket,16
222,screw grid tray,29
223,screw hexagon cap nut,11
224,screw wheel,27
225,insert grid tray,19
