id,name
0,take plate
1,put down plate
2,take paper
3,wash cloth
4,take cloth
5,squeeze cloth
6,wipe counter
7,wipe sink
8,continue wiping sink
9,take onion
10,turn on tap
11,wash sink
12,open bin
13,turn off tap
14,wipe cooker
15,put down cloth
16,throw onion in
17,close bin
18,dry hands
19,hand cloth
20,throw paper into bin
21,take hand
22,throw can into bin
23,take bin
24,put bin onto other bin
25,take bins
26,put down bins
27,close bag
28,tie bag
29,remove bag of the bin
30,take bin out
31,put bag into bin
32,take garbage bag
33,open bag
34,take tray
35,take lid
36,close container
37,take container and plate
38,open fridge
39,move things in the fridge
40,put container into fridge
41,put plate into fridge
42,close fridge
43,take spatula
44,put down tray
45,take trays
46,put down trays
47,put down spatula and pizza cutter
48,take pizza
49,take tablecloth
50,fold tablecloth
51,put tablecloth into cupboard
52,take container
53,open container
54,take pizza slice
55,put pizza slice into container
56,put pizza onto plate
57,take knife
58,put down knife
59,cut pizza
60,put down lid
61,wash hand
62,take sponge
63,squeeze sponge
64,take washing up liquid
65,put down washing up liquid
66,wash knife
67,take fork
68,wash fork
69,put down fork
70,put pizza slice onto plate
71,take pizza cutter
72,rinse pizza cutter
73,wash pizza cutter
74,put down pizza cutter
75,wash plate
76,wash spatula
77,put down spatula
78,wash tray
79,put down sponge
80,take glass
81,wash glass
82,rinse glass
83,put glass into rack
84,rinse spatula
85,put spatula into rack.
86,rinse knife.
87,wash knife.
88,put knife into rack.
89,take fork.
90,wash fork.
91,rinse fork.
92,take pizza cutter.
93,rinse pizza cutter.
94,put pizza cutter into rack.
95,take tray.
96,rinse tray.
97,fold paper
98,put tray into rack.
99,put tray into rack
100,rinse plate
101,put plate into track
102,wash sponge
103,take cutlery
104,open drawer
105,close drawer
106,take cutting board
107,open cupboard
108,put cutting board into cupboard
109,put trays into cupboard
110,take pan
111,put pan into cupboard
112,take bowls
113,put bowls into cupboard
114,take out
115,close cupboard
116,pull down cup
117,take plates
118,put plates into cupboard
119,take measuring cups and glass
120,put cup into cupboard
121,put measuring cup into cupboard
122,take rolling bin
123,put rolling pin into drawer
124,put down spoon
